,name,rating,title,date,review_body
95,Aditya agarwala,5.0 out of 5 stars,It is a very good vaccum cleaner. It is easy to use. It is not too costly also,Reviewed in India on 22 August 2021,I like it's extra pipes and water taking in feature.
96,COIMBATORE MANOJ,1.0 out of 5 stars,VERY OLD MODEL AND INFERIOR PLATIC - BRAKABLE ONE,Reviewed in India on 20 August 2021,VERY OLD MODEL AND INFERY IOR PLATIC - BRAKABLE ONE. THEY DO NOT ALLOW TO CANCEL THE ORDER EVEN BEFORE SHIPPING !!!
97,ravi shanker,5.0 out of 5 stars,Good,Reviewed in India on 20 August 2021,Good product
98,Yogendra,4.0 out of 5 stars,Must buy it,Reviewed in India on 20 August 2021,It's very usefull to us
99,Varsha,4.0 out of 5 stars,A Very Decent Product,Reviewed in India on 19 August 2021,"The vacuum cleaner quality is really good. Also different type of suction pipes are available. Which makes it easier to clean everything(Floor,Sofa,Corners etc.)Easy to clean the vacuum cleaner bag. Works really well on carpets.But the only con about this product is that it doesn't completely clean the thin dust and also while using  the blower it heats up a little. Overall useful product with decent price."
100,Deepak Mukherjee,4.0 out of 5 stars,Price is reasonable,Reviewed in India on 17 August 2021,Very handy
101,SURESHBABU.M,5.0 out of 5 stars,Excellent product,Reviewed in India on 17 August 2021,"Great product. Satisfied with the overall existing. Suction power is good. Easy to carry and move place to place. Can be used for dust cleaning of floor, sofa, car, window etc"
102,Ajay,1.0 out of 5 stars,Waste product.,Reviewed in India on 16 August 2021,Please don't buy anyone waste product
103,Ajoy V J,1.0 out of 5 stars,"Product looks Good, recieved both time damaged product",Reviewed in India on 16 August 2021,
104,J.THIRUPATHY BABU,5.0 out of 5 stars,Fulfilled the expectations....,Reviewed in India on 13 August 2021,Easy to use
105,Shakeeb,3.0 out of 5 stars,V C is good but accessories are not enough,Reviewed in India on 12 August 2021,With the accessories supplied are not enough. It is very hard to reach sealing roof for cleaning at least one more plastic pipe is needed
106,Hafizul,5.0 out of 5 stars,Great product on this price range,Reviewed in India on 11 August 2021,Easy to use with big capacity
107,RAMESH PORIKA wgl,5.0 out of 5 stars,Dust bag synthetic,Reviewed in India on 10 August 2021,
108,Sunil C.,4.0 out of 5 stars,Quality Product,Reviewed in India on 8 August 2021,Works very well. But for me it is still very new and do not expect problems at this early stage. If Amazon reminds me... I will review it again after 6 months of use.
109,chetan kumar,1.0 out of 5 stars,Received with out bucket cap and led bulb is not working .Wastage of money.,Reviewed in India on 7 August 2021,Suction power is not good.Not recommended to anyone.Total wastage of money.
110,Mathew Jacob,5.0 out of 5 stars,Good product,Reviewed in India on 6 August 2021,Product is really good. But would be more great if it had a bit more suction power with a less noise level. Easy to fit and move the product and its user friendly. My overall experience with this product is good
111,Parsheena,5.0 out of 5 stars,"Excellent product, reasonable price",Reviewed in India on 5 August 2021,Product quality is very good. Amazon delivered vaccum cleaner in nice packing and in good condition in all respect.
112,Rohan,2.0 out of 5 stars,Used product received. All dust inside dust bag and on filter inside vacuum cleaner,Reviewed in India on 4 August 2021,Do not send used product to customer. I am going to return this in day.
113,Babita beniwal,1.0 out of 5 stars,I have received broken item,Reviewed in India on 3 August 2021,"The media could not be loaded.
                



 Broken"
114,Natarajan,1.0 out of 5 stars,Noisy Machine....,Reviewed in India on 2 August 2021,Extremely noisy when it runs......beyond bearable decibal...
115,jayant Prabhu,5.0 out of 5 stars,Over all a unit worth buying.,Reviewed in India on 31 July 2021,"The literature provided is sketchy and not sufficient.  An authorised person should have posted a video on the YouTube operating the unit, would have certainly added feather to the cap. Easy to use and suction power sufficient."
116,aien,3.0 out of 5 stars,Average product.,Reviewed in India on 30 July 2021,Suction power is good but the problem is it cannot move to the corner or small areas. And again the main thing which I dislike is its sound. Otherwise the remaining part is good.
117,abdul fareed,5.0 out of 5 stars,Value for money. Good quality products,Reviewed in India on 30 July 2021,Value for money. Good quality products
118,Amazon Customer,5.0 out of 5 stars,Product is good but wheel is missing,Reviewed in India on 30 July 2021,Will I get the wheel or not
